Q1,T1,Tsp,err
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
0.0,20.949499999999997,20.949499999999997,0.0
1.9598418399999908,20.6272,20.949499999999997,0.3222999999999985
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
0.026041839999999872,20.949499999999997,20.949499999999997,0.0
1.9856258399999906,20.6272,20.949499999999997,0.3222999999999985
0.05182583999999975,20.949499999999997,20.949499999999997,0.0
0.05182583999999975,20.949499999999997,20.949499999999997,0.0
0.05182583999999975,20.949499999999997,20.949499999999997,0.0
0.05182583999999975,20.949499999999997,20.949499999999997,0.0
0.05182583999999975,20.949499999999997,20.949499999999997,0.0
100.0,20.949499999999997,51.0,30.050500000000003
100.0,20.949499999999997,51.0,30.050500000000003
100.0,20.949499999999997,51.0,30.050500000000003
100.0,20.949499999999997,51.0,30.050500000000003
100.0,20.949499999999997,51.0,30.050500000000003
100.0,20.949499999999997,51.0,30.050500000000003
100.0,21.2718,51.0,29.7282
100.0,21.2718,51.0,29.7282
100.0,21.594099999999997,51.0,29.405900000000003
100.0,21.594099999999997,51.0,29.405900000000003
100.0,21.9164,51.0,29.0836
100.0,21.9164,51.0,29.0836
100.0,22.238699999999998,51.0,28.761300000000002
100.0,22.561,51.0,28.439
100.0,22.561,51.0,28.439
100.0,22.8833,51.0,28.1167
100.0,23.205599999999997,51.0,27.794400000000003
100.0,23.205599999999997,51.0,27.794400000000003
100.0,23.5279,51.0,27.4721
100.0,23.850199999999997,51.0,27.149800000000003
100.0,24.1725,51.0,26.8275
100.0,24.494799999999998,51.0,26.505200000000002
100.0,24.494799999999998,51.0,26.505200000000002
100.0,24.817099999999996,51.0,26.182900000000004
100.0,25.461699999999997,51.0,25.538300000000003
100.0,25.461699999999997,51.0,25.538300000000003
100.0,25.784,51.0,25.216
100.0,26.106299999999997,51.0,24.893700000000003
100.0,26.4286,51.0,24.5714
100.0,26.750899999999998,51.0,24.249100000000002
100.0,27.073199999999996,51.0,23.926800000000004
100.0,27.3955,51.0,23.6045
100.0,27.717799999999997,51.0,23.282200000000003
100.0,28.0401,51.0,22.9599
100.0,28.362399999999997,51.0,22.637600000000003
100.0,28.6847,51.0,22.3153
100.0,29.006999999999998,51.0,21.993000000000002
100.0,29.329299999999996,51.0,21.670700000000004
100.0,29.6516,51.0,21.3484
100.0,29.973899999999997,51.0,21.026100000000003
100.0,30.2962,51.0,20.7038
100.0,30.618499999999997,51.0,20.381500000000003
100.0,30.618499999999997,51.0,20.381500000000003
100.0,31.263099999999998,51.0,19.736900000000002
100.0,31.585399999999996,51.0,19.414600000000004
100.0,31.9077,51.0,19.0923
100.0,32.23,51.0,18.770000000000003
100.0,32.552299999999995,51.0,18.447700000000005
100.0,32.8746,51.0,18.1254
100.0,32.8746,51.0,18.1254
100.0,33.1969,51.0,17.8031
100.0,33.5192,51.0,17.480800000000002
100.0,34.163799999999995,51.0,16.836200000000005
100.0,34.4861,51.0,16.5139
100.0,34.4861,51.0,16.5139
98.47084727999999,34.8084,51.0,16.1916
95.84700728000001,35.452999999999996,51.0,15.547000000000004
97.10320488000002,35.452999999999996,51.0,15.547000000000004
96.36302136000003,35.775299999999994,51.0,15.224700000000006
95.63333527999998,36.0976,51.0,14.9024
94.86594328,36.4199,51.0,14.580100000000002
94.08417352000001,36.7422,51.0,14.257800000000003
93.24291672000003,37.064499999999995,51.0,13.935500000000005
92.39817272000003,37.386799999999994,51.0,13.613200000000006
91.53827744,37.7091,51.0,13.2909
90.65234032000001,38.0314,51.0,12.968600000000002
89.73024432000003,38.353699999999996,51.0,12.646300000000004
88.76264592000004,38.675999999999995,51.0,12.324000000000005
89.75842512000003,38.675999999999995,51.0,12.324000000000005
88.78476111999998,38.9983,51.0,12.0017
87.79465664,39.3206,51.0,11.679400000000001
86.60189216000003,39.965199999999996,51.0,11.034800000000004
85.48224216000004,40.287499999999994,51.0,10.712500000000006
84.38797032,40.6098,51.0,10.3902
83.24349368000001,40.9321,51.0,10.067900000000002
84.05698000000001,40.9321,51.0,10.067900000000002
82.90282800000003,41.2544,51.0,9.745600000000003
81.72289200000003,41.576699999999995,51.0,9.423300000000005
80.53173360000004,41.898999999999994,51.0,9.101000000000006
81.25981360000004,41.898999999999994,51.0,9.101000000000006
80.02128664,42.2213,51.0,8.7787
78.76399864000001,42.5436,51.0,8.456400000000002
77.47441936000003,42.865899999999996,51.0,8.134100000000004
78.12514736000003,42.865899999999996,51.0,8.134100000000004
76.81629136000004,43.188199999999995,51.0,7.811800000000005
